metric_type,source,threshold,window,comparison,radius,dtw_score
Network Density,RSV,0.4,15,Active Cases,7,63.9257020504788
Network Density,MSV,0.5,15,Active Cases,15,64.01217887159329
Network Density,MSV,0.6,15,Active Cases,20,64.16372244679182
Network Density,RSV,0.4,30,Confirmed Cases,15,64.78666666666666
Network Density,RSV,0.4,15,Confirmed Cases,15,64.83613553113557
Network Density,MSV,0.4,15,Confirmed Cases,7,64.84944008372587
Network Density,MSV,0.5,30,Active Cases,15,64.8609413609931
Network Density,RSV,0.6,30,Active Cases,15,64.8664613082831
Network Density,RSV,0.4,30,Active Cases,7,65.67097020681497
Network Density,MSV,0.4,30,Active Cases,7,65.85318312849577
Network Density,MSV,0.6,15,Active Cases,15,66.08997720014531
Clustering Coefficient,RSV,0.4,30,Active Cases,50,66.48297148649549
Clustering Coefficient,RSV,0.5,30,Active Cases,50,66.54626089401175
Network Density,MSV,0.4,15,Active Cases,7,66.832702922829
Network Density,RSV,0.8,15,Active Cases,50,67.23417794211947
Clustering Coefficient,RSV,0.4,15,Active Cases,7,67.65351067176948
Network Density,MSV,0.5,15,Active Cases,7,68.0626814273959
Clustering Coefficient,MSV,0.4,15,Active Cases,7,68.96567509559091
Network Density,MSV,0.5,30,Active Cases,7,69.02974613931508
Clustering Coefficient,RSV,0.5,15,Active Cases,50,69.04535178732688
Network Density,MSV,0.6,30,Active Cases,50,69.09967504010305
Network Density,MSV,0.8,30,Active Cases,50,69.53220410458246
Clustering Coefficient,RSV,0.6,30,Active Cases,50,69.78754099896919
Clustering Coefficient,RSV,0.4,30,Active Cases,30,69.80372993277811
Clustering Coefficient,MSV,0.4,30,Active Cases,50,69.91768897862504
Network Density,RSV,0.6,30,Active Cases,7,70.20762928206972
Network Density,MSV,0.6,15,Active Cases,7,70.29982925487323
Network Density,RSV,0.4,30,Confirmed Cases,7,70.62076923076924
Clustering Coefficient,RSV,0.6,15,Active Cases,50,71.16830069008647
Network Density,RSV,0.4,15,Confirmed Cases,7,71.66771062271064
Network Density,MSV,0.6,30,Active Cases,30,72.04497483559055
Clustering Coefficient,RSV,0.4,30,Active Cases,20,72.85883716694309
Clustering Coefficient,RSV,0.5,30,Active Cases,30,73.16212319995002
Network Density,MSV,0.8,30,Active Cases,30,73.49068034860817
Clustering Coefficient,RSV,0.4,30,Active Cases,15,74.51604948781807
Clustering Coefficient,RSV,0.5,15,Active Cases,30,74.69226648395836
Network Density,RSV,0.8,15,Active Cases,30,74.72151997677392
Network Density,MSV,0.6,30,Active Cases,20,74.84378910405871
Clustering Coefficient,MSV,0.4,30,Active Cases,30,75.28901469005477
Network Density,MSV,0.8,30,Active Cases,20,75.6321431918281
Clustering Coefficient,RSV,0.6,30,Active Cases,30,75.74333239621403
Network Density,MSV,0.6,30,Active Cases,15,76.2772453653938
Network Density,MSV,0.8,30,Active Cases,15,76.78190891200433
Network Density,RSV,0.8,30,Active Cases,50,77.01290881829244
Clustering Coefficient,RSV,0.4,30,Active Cases,7,77.55230544545498
Clustering Coefficient,RSV,0.5,30,Active Cases,20,77.61744916127823
Network Density,MSV,0.8,15,Active Cases,50,77.98508506255784
Clustering Coefficient,MSV,0.4,30,Active Cases,20,78.26236997469785
Network Density,MSV,0.8,30,Active Cases,7,78.73591509699173
Network Density,MSV,0.6,30,Active Cases,7,78.9339868362302
Clustering Coefficient,RSV,0.5,15,Active Cases,20,79.13447759217135
Clustering Coefficient,RSV,0.6,15,Active Cases,30,79.20098067033105
Clustering Coefficient,RSV,0.6,30,Active Cases,20,79.64901133914347
Clustering Coefficient,MSV,0.4,30,Active Cases,15,79.7612759589145
Clustering Coefficient,RSV,0.5,30,Active Cases,15,79.8480664105207
Clustering Coefficient,MSV,0.5,30,Active Cases,50,80.14869836042371
Network Density,RSV,0.8,15,Active Cases,20,80.34282906721899
Network Density,RSV,0.8,30,Active Cases,30,81.16181707431343
Clustering Coefficient,RSV,0.6,30,Active Cases,15,81.60185081060818
Clustering Coefficient,RSV,0.5,15,Active Cases,15,81.61771057496249
Clustering Coefficient,MSV,0.6,30,Active Cases,50,82.40404472162767
Clustering Coefficient,MSV,0.4,30,Active Cases,7,82.59259590564068
Clustering Coefficient,MSV,0.5,30,Active Cases,30,83.02890487091656
Network Density,RSV,0.8,15,Active Cases,15,83.0754133978223
Network Density,RSV,0.8,30,Active Cases,20,83.29615312529276
