metric_type,source,threshold,window,comparison,radius,dtw_score
Clustering Coefficient,RSV,0.8,15,Active Cases,50,41.423527983116124
Network Density,MSV,0.4,15,Active Cases,20,41.9430524873147
Clustering Coefficient,RSV,0.4,30,Active Cases,20,41.94327260536314
Clustering Coefficient,RSV,0.5,15,Active Cases,30,41.98359290757851
Clustering Coefficient,RSV,0.4,15,Active Cases,15,41.986759750379804
Network Density,RSV,0.5,30,Active Cases,7,42.00295301545371
Network Density,RSV,0.4,15,Active Cases,20,42.19199389673906
Network Density,RSV,0.6,30,Active Cases,15,42.31029958734429
Network Density,MSV,0.4,15,Confirmed Cases,15,42.4275248560963
Network Density,RSV,0.4,15,Confirmed Cases,20,42.74935897435897
Network Density,MSV,0.6,15,Active Cases,15,42.773812448355045
Network Density,MSV,0.5,15,Active Cases,15,42.80397236501409
Clustering Coefficient,MSV,0.8,15,Active Cases,50,43.28079834942716
Network Density,RSV,0.4,30,Confirmed Cases,15,43.47230769230768
Network Density,RSV,0.4,30,Active Cases,15,43.92661815272162
Clustering Coefficient,MSV,0.4,15,Active Cases,15,44.07744397482545
Clustering Coefficient,MSV,0.4,30,Active Cases,20,44.85163910684001
Clustering Coefficient,MSV,0.5,30,Active Cases,20,44.889685759037974
Clustering Coefficient,MSV,0.5,15,Active Cases,30,44.98036588613763
Network Density,RSV,0.8,15,Active Cases,30,45.5928266744088
Network Density,RSV,0.4,15,Active Cases,15,45.64745732024412
Network Density,RSV,0.5,15,Active Cases,7,45.727017590876244
Clustering Coefficient,RSV,0.5,30,Active Cases,20,45.96815824821166
Network Density,MSV,0.4,15,Active Cases,15,46.06932221489443
Clustering Coefficient,MSV,0.6,30,Active Cases,20,46.251588799703164
Network Density,MSV,0.8,30,Active Cases,15,46.35990066535464
Network Density,RSV,0.4,15,Confirmed Cases,15,46.53155677655675
Network Density,MSV,0.6,30,Active Cases,15,46.588990502020266
Clustering Coefficient,RSV,0.4,30,Active Cases,15,46.878359275699076
Clustering Coefficient,RSV,0.6,30,Active Cases,20,46.9442742011058
Network Density,RSV,0.8,30,Active Cases,20,47.139537063068104
Network Density,RSV,0.6,15,Active Cases,7,47.48490562225294
Clustering Coefficient,MSV,0.8,30,Active Cases,20,47.653860931496496
Network Density,MSV,0.4,30,Active Cases,7,47.85048366545122
Clustering Coefficient,RSV,0.8,30,Active Cases,20,48.03753162777604
Network Density,MSV,0.8,15,Active Cases,30,48.93776165991818
Network Density,MSV,0.5,30,Active Cases,7,49.29820985553564
Clustering Coefficient,MSV,0.5,30,Active Cases,15,50.19471808965365
Clustering Coefficient,MSV,0.4,30,Active Cases,15,50.2331936173656
Clustering Coefficient,RSV,0.5,15,Active Cases,20,50.338596873423
Network Density,MSV,0.4,15,Confirmed Cases,7,50.56223966509686
Clustering Coefficient,RSV,0.5,30,Active Cases,15,51.4526020679099
Clustering Coefficient,MSV,0.6,15,Active Cases,30,51.51778511730434
Clustering Coefficient,MSV,0.6,30,Active Cases,15,51.56225771163119
Clustering Coefficient,RSV,0.6,15,Active Cases,30,51.60366545031739
Network Density,MSV,0.5,15,Active Cases,7,51.8492875587826
Clustering Coefficient,RSV,0.8,15,Active Cases,30,51.855524320521745
Clustering Coefficient,RSV,0.4,15,Active Cases,7,52.00132308587571
Network Density,RSV,0.6,30,Active Cases,7,52.18961639506353
Network Density,RSV,0.4,30,Active Cases,7,52.331958290982755
Clustering Coefficient,RSV,0.6,30,Active Cases,15,52.4281088932621
Network Density,RSV,0.4,15,Active Cases,7,52.519536097932956
Network Density,RSV,0.8,30,Active Cases,15,52.583099053509486
Network Density,MSV,0.6,15,Active Cases,7,52.64273561710861
Network Density,RSV,0.4,30,Confirmed Cases,7,52.734871794871786
Clustering Coefficient,MSV,0.8,30,Active Cases,15,52.985507450098325
Clustering Coefficient,MSV,0.4,15,Active Cases,7,53.37902417314343
