date,lagnat,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-08-31,0,3.744186046511628,0.0,0.0
2020-09-01,0,3.744186046511628,0.0,0.0
2020-09-02,86,3.744186046511628,322.0,69.6969696969697
2020-09-03,0,3.744186046511628,0.0,0.0
2020-09-04,0,3.744186046511628,0.0,0.0
2020-09-05,0,3.744186046511628,0.0,0.0
2020-09-06,0,1.49438202247191,0.0,0.0
2020-09-07,68,1.49438202247191,101.61797752808988,21.995233231188287
2020-09-08,99,1.49438202247191,147.94382022471908,32.02247191011236
2020-09-09,0,1.49438202247191,0.0,0.0
2020-09-10,0,1.49438202247191,0.0,0.0
2020-09-11,100,1.49438202247191,149.438202247191,32.345931222335714
2020-09-12,0,1.49438202247191,0.0,0.0
2020-09-13,0,,0.0,0.0
2020-09-14,0,,0.0,0.0
2020-09-15,0,,0.0,0.0
2020-09-16,0,,0.0,0.0
2020-09-17,0,,0.0,0.0
2020-09-18,0,,0.0,0.0
2020-09-19,0,,0.0,0.0
2020-09-20,100,1.565040650406504,156.5040650406504,33.87533875338754
2020-09-21,0,1.565040650406504,0.0,0.0
2020-09-22,85,1.565040650406504,133.02845528455285,28.794037940379408
2020-09-23,61,1.565040650406504,95.46747967479675,20.6639566395664
2020-09-24,0,1.565040650406504,0.0,0.0
2020-09-25,0,1.565040650406504,0.0,0.0
2020-09-26,0,1.565040650406504,0.0,0.0
2020-09-27,56,3.0404040404040407,170.26262626262627,36.85338230792777
2020-09-28,0,3.0404040404040407,0.0,0.0
2020-09-29,43,3.0404040404040407,130.73737373737376,28.298132843587396
2020-09-30,0,3.0404040404040407,0.0,0.0
2020-10-01,0,3.0404040404040407,0.0,0.0
2020-10-02,0,3.0404040404040407,0.0,0.0
2020-10-03,0,3.0404040404040407,0.0,0.0
2020-10-04,0,,0.0,0.0
2020-10-05,0,,0.0,0.0
2020-10-06,0,,0.0,0.0
2020-10-07,0,,0.0,0.0
2020-10-08,0,,0.0,0.0
2020-10-09,0,,0.0,0.0
2020-10-10,0,,0.0,0.0
2020-10-11,56,2.7007874015748032,151.24409448818898,32.73681698878549
2020-10-12,0,2.7007874015748032,0.0,0.0
2020-10-13,0,2.7007874015748032,0.0,0.0
2020-10-14,71,2.7007874015748032,191.75590551181102,41.50560725363876
2020-10-15,0,2.7007874015748032,0.0,0.0
2020-10-16,0,2.7007874015748032,0.0,0.0
2020-10-17,0,2.7007874015748032,0.0,0.0
2020-10-18,0,2.9696969696969697,0.0,0.0
2020-10-19,0,2.9696969696969697,0.0,0.0
2020-10-20,0,2.9696969696969697,0.0,0.0
2020-10-21,63,2.9696969696969697,187.0909090909091,40.49586776859505
2020-10-22,0,2.9696969696969697,0.0,0.0
2020-10-23,69,2.9696969696969697,204.9090909090909,44.35261707988981
2020-10-24,0,2.9696969696969697,0.0,0.0
2020-10-25,0,2.214689265536723,0.0,0.0
2020-10-26,0,2.214689265536723,0.0,0.0
2020-10-27,0,2.214689265536723,0.0,0.0
2020-10-28,0,2.214689265536723,0.0,0.0
2020-10-29,0,2.214689265536723,0.0,0.0
2020-10-30,77,2.214689265536723,170.5310734463277,36.91148775894539
2020-10-31,100,2.214689265536723,221.4689265536723,47.93699708953947
2020-11-01,0,2.94,0.0,0.0
2020-11-02,100,2.94,294.0,63.63636363636365
2020-11-03,0,2.94,0.0,0.0
2020-11-04,0,2.94,0.0,0.0
2020-11-05,0,2.94,0.0,0.0
2020-11-06,0,2.94,0.0,0.0
2020-11-07,0,2.94,0.0,0.0
2020-11-08,93,3.7634408602150535,350.0,75.75757575757576
2020-11-09,0,3.7634408602150535,0.0,0.0
2020-11-10,0,3.7634408602150535,0.0,0.0
2020-11-11,0,3.7634408602150535,0.0,0.0
2020-11-12,0,3.7634408602150535,0.0,0.0
2020-11-13,0,3.7634408602150535,0.0,0.0
2020-11-14,0,3.7634408602150535,0.0,0.0
2020-11-15,0,3.0153846153846153,0.0,0.0
2020-11-16,0,3.0153846153846153,0.0,0.0
2020-11-17,0,3.0153846153846153,0.0,0.0
2020-11-18,70,3.0153846153846153,211.07692307692307,45.68764568764569
2020-11-19,0,3.0153846153846153,0.0,0.0
