date,face shield,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-10-21,53,0.1403118040089087,7.436525612472161,3.7395100222717144
2020-10-22,58,0.1403118040089087,8.138084632516705,4.092293986636971
2020-10-23,53,0.1403118040089087,7.436525612472161,3.7395100222717144
2020-10-24,52,0.1403118040089087,7.296213808463252,3.668953229398663
2020-10-25,51,0.1411290322580645,7.19758064516129,3.6193548387096763
2020-10-26,49,0.1411290322580645,6.91532258064516,3.477419354838709
2020-10-27,71,0.1411290322580645,10.02016129032258,5.038709677419353
2020-10-28,89,0.1411290322580645,12.56048387096774,6.316129032258062
2020-10-29,100,0.1411290322580645,14.11290322580645,7.096774193548384
2020-10-30,77,0.1411290322580645,10.866935483870966,5.464516129032257
2020-10-31,59,0.1411290322580645,8.326612903225806,4.187096774193547
2020-11-01,61,0.125,7.625,3.8342857142857136
2020-11-02,60,0.125,7.5,3.771428571428571
2020-11-03,79,0.125,9.875,4.965714285714284
2020-11-04,60,0.125,7.5,3.771428571428571
2020-11-05,43,0.125,5.375,2.7028571428571424
2020-11-06,73,0.125,9.125,4.588571428571428
2020-11-07,72,0.125,9.0,4.525714285714285
2020-11-08,75,0.1361111111111111,10.208333333333332,5.133333333333331
2020-11-09,55,0.1361111111111111,7.486111111111111,3.764444444444443
2020-11-10,48,0.1361111111111111,6.533333333333333,3.2853333333333326
2020-11-11,58,0.1361111111111111,7.894444444444444,3.969777777777777
2020-11-12,41,0.1361111111111111,5.580555555555555,2.8062222222222215
2020-11-13,42,0.1361111111111111,5.716666666666666,2.874666666666666
2020-11-14,41,0.1361111111111111,5.580555555555555,2.8062222222222215
2020-11-15,50,0.1686746987951807,8.433734939759036,4.240963855421686
2020-11-16,61,0.1686746987951807,10.289156626506024,5.173975903614457
2020-11-17,83,0.1686746987951807,13.999999999999998,7.039999999999997
2020-11-18,61,0.1686746987951807,10.289156626506024,5.173975903614457
2020-11-19,30,0.1686746987951807,5.0602409638554215,2.5445783132530115
2020-11-20,26,0.1686746987951807,4.385542168674698,2.205301204819276
2020-11-21,21,0.1686746987951807,3.542168674698795,1.7812048192771077
2020-11-22,28,0.2580645161290322,7.225806451612901,3.633548387096772
2020-11-23,31,0.2580645161290322,7.999999999999998,4.022857142857141
2020-11-24,26,0.2580645161290322,6.709677419354837,3.3740092165898607
2020-11-25,35,0.2580645161290322,9.032258064516126,4.541935483870965
2020-11-26,23,0.2580645161290322,5.93548387096774,2.9847004608294916
2020-11-27,40,0.2580645161290322,10.322580645161288,5.190783410138247
2020-11-28,34,0.2580645161290322,8.774193548387094,4.412165898617509
2020-11-29,0,0.2947368421052632,0.0,0.0
2020-11-30,19,0.2947368421052632,5.6000000000000005,2.816
2020-12-01,31,0.2947368421052632,9.13684210526316,4.594526315789474
2020-12-02,32,0.2947368421052632,9.431578947368422,4.742736842105263
2020-12-03,44,0.2947368421052632,12.96842105263158,6.521263157894736
2020-12-04,27,0.2947368421052632,7.957894736842106,4.0016842105263155
2020-12-05,37,0.2947368421052632,10.905263157894737,5.483789473684209
2020-12-06,25,0.2758620689655172,6.89655172413793,3.467980295566501
2020-12-07,26,0.2758620689655172,7.172413793103447,3.6066995073891612
2020-12-08,40,0.2758620689655172,11.034482758620687,5.548768472906401
2020-12-09,39,0.2758620689655172,10.75862068965517,5.410049261083742
2020-12-10,23,0.2758620689655172,6.344827586206895,3.1905418719211807
2020-12-11,20,0.2758620689655172,5.517241379310343,2.7743842364532005
2020-12-12,30,0.2758620689655172,8.275862068965516,4.161576354679801
2020-12-13,33,0.2786885245901639,9.19672131147541,4.624637002341919
2020-12-14,23,0.2786885245901639,6.40983606557377,3.2232318501170947
2020-12-15,94,0.2786885245901639,26.196721311475407,13.173208430913345
2020-12-16,100,0.2786885245901639,27.86885245901639,14.014051522248238
2020-12-17,64,0.2786885245901639,17.83606557377049,8.968992974238873
2020-12-18,57,0.2786885245901639,15.885245901639342,7.988009367681497
2020-12-19,56,0.2786885245901639,15.606557377049178,7.847868852459014
2020-12-20,100,0.1981132075471698,19.81132075471698,9.962264150943394
2020-12-21,65,0.1981132075471698,12.877358490566037,6.475471698113205
2020-12-22,52,0.1981132075471698,10.30188679245283,5.180377358490565
2020-12-23,36,0.1981132075471698,7.132075471698113,3.586415094339622
2020-12-24,0,0.1981132075471698,0.0,0.0
2020-12-25,0,0.1981132075471698,0.0,0.0
2020-12-26,65,0.1981132075471698,12.877358490566037,6.475471698113205
2020-12-27,45,0.1858407079646017,8.362831858407077,4.205309734513272
2020-12-28,42,0.1858407079646017,7.805309734513271,3.924955752212387
2020-12-29,35,0.1858407079646017,6.504424778761059,3.2707964601769888
