date,flu,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-08-01,92,0.3684210526315789,33.89473684210526,16.608421052631577
2020-08-02,65,0.3636363636363636,23.636363636363633,11.581818181818178
2020-08-03,68,0.3636363636363636,24.727272727272723,12.116363636363634
2020-08-04,55,0.3636363636363636,19.999999999999996,9.799999999999997
2020-08-05,70,0.3636363636363636,25.45454545454545,12.47272727272727
2020-08-06,68,0.3636363636363636,24.727272727272723,12.116363636363634
2020-08-07,72,0.3636363636363636,26.18181818181818,12.829090909090906
2020-08-08,64,0.3636363636363636,23.27272727272727,11.403636363636362
2020-08-09,55,0.3721518987341772,20.468354430379748,10.029493670886076
2020-08-10,62,0.3721518987341772,23.073417721518986,11.305974683544303
2020-08-11,47,0.3721518987341772,17.491139240506328,8.570658227848101
2020-08-12,67,0.3721518987341772,24.934177215189873,12.217746835443037
2020-08-13,59,0.3721518987341772,21.956962025316454,10.75891139240506
2020-08-14,50,0.3721518987341772,18.60759493670886,9.117721518987342
2020-08-15,55,0.3721518987341772,20.468354430379748,10.029493670886076
2020-08-16,52,0.24609375,12.796875,6.270468749999999
2020-08-17,48,0.24609375,11.8125,5.788124999999999
2020-08-18,80,0.24609375,19.6875,9.646875
2020-08-19,76,0.24609375,18.703125,9.16453125
2020-08-20,100,0.24609375,24.609375,12.058593749999998
2020-08-21,75,0.24609375,18.45703125,9.0439453125
2020-08-22,81,0.24609375,19.93359375,9.7674609375
2020-08-23,77,0.2267206477732793,17.457489878542507,8.554170040485829
2020-08-24,83,0.2267206477732793,18.817813765182184,9.220728744939269
2020-08-25,64,0.2267206477732793,14.510121457489875,7.109959514170039
2020-08-26,69,0.2267206477732793,15.643724696356271,7.665425101214572
2020-08-27,63,0.2267206477732793,14.283400809716596,6.998866396761132
2020-08-28,65,0.2267206477732793,14.736842105263154,7.221052631578945
2020-08-29,73,0.2267206477732793,16.550607287449388,8.1097975708502
2020-08-30,51,0.2258064516129032,11.516129032258062,5.64290322580645
2020-08-31,72,0.2258064516129032,16.25806451612903,7.9664516129032235
2020-09-01,59,0.2258064516129032,13.322580645161288,6.528064516129032
2020-09-02,45,0.2258064516129032,10.161290322580644,4.979032258064516
2020-09-03,74,0.2258064516129032,16.709677419354836,8.187741935483869
2020-09-04,59,0.2258064516129032,13.322580645161288,6.528064516129032
2020-09-05,74,0.2258064516129032,16.709677419354836,8.187741935483869
2020-09-06,55,0.2159383033419023,11.876606683804628,5.819537275064268
2020-09-07,62,0.2159383033419023,13.388174807197943,6.560205655526992
2020-09-08,42,0.2159383033419023,9.069408740359897,4.4440102827763495
2020-09-09,57,0.2159383033419023,12.308483290488432,6.031156812339331
2020-09-10,56,0.2159383033419023,12.09254498714653,5.925347043701799
2020-09-11,55,0.2159383033419023,11.876606683804628,5.819537275064268
2020-09-12,62,0.2159383033419023,13.388174807197943,6.560205655526992
2020-09-13,47,0.1810344827586206,8.508620689655169,4.169224137931033
2020-09-14,53,0.1810344827586206,9.594827586206891,4.701465517241377
2020-09-15,55,0.1810344827586206,9.956896551724133,4.878879310344826
2020-09-16,64,0.1810344827586206,11.586206896551719,5.677241379310342
2020-09-17,63,0.1810344827586206,11.405172413793098,5.588534482758618
2020-09-18,96,0.1810344827586206,17.37931034482758,8.515862068965514
2020-09-19,86,0.1810344827586206,15.568965517241372,7.628793103448272
