date,cough,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-07-12,94,0.4643449419568822,43.64842454394692,38.0988391376451
2020-07-13,83,0.4643449419568822,38.540630182421225,33.640464344941954
2020-07-14,85,0.4643449419568822,39.46932006633499,34.45107794361525
2020-07-15,94,0.4643449419568822,43.64842454394692,38.0988391376451
2020-07-16,97,0.4643449419568822,45.041459369817574,39.31475953565505
2020-07-17,66,0.4643449419568822,30.646766169154226,26.7502487562189
2020-07-18,84,0.4643449419568822,39.004975124378106,34.0457711442786
2020-07-19,87,0.4757281553398058,41.3883495145631,36.126116504854366
2020-07-20,76,0.4757281553398058,36.15533980582524,31.558446601941746
2020-07-21,99,0.4757281553398058,47.09708737864077,41.10902912621359
2020-07-22,90,0.4757281553398058,42.81553398058252,37.37184466019418
2020-07-23,100,0.4757281553398058,47.57281553398058,41.52427184466019
2020-07-24,78,0.4757281553398058,37.10679611650485,32.38893203883495
2020-07-25,88,0.4757281553398058,41.86407766990291,36.54135922330097
2020-07-26,97,0.4942528735632184,47.94252873563219,41.84697865353038
2020-07-27,86,0.4942528735632184,42.50574712643678,37.10144499178982
2020-07-28,86,0.4942528735632184,42.50574712643678,37.10144499178982
2020-07-29,79,0.4942528735632184,39.04597701149425,34.081559934318555
2020-07-30,83,0.4942528735632184,41.02298850574713,35.80720853858785
2020-07-31,93,0.4942528735632184,45.96551724137931,40.12133004926108
2020-08-01,85,0.4942528735632184,42.01149425287356,36.67003284072249
2020-08-02,75,0.5,37.5,32.73214285714286
2020-08-03,71,0.5,35.5,30.98642857142857
2020-08-04,73,0.5,36.5,31.85928571428572
2020-08-05,72,0.5,36.0,31.42285714285714
2020-08-06,67,0.5,33.5,29.240714285714287
2020-08-07,80,0.5,40.0,34.91428571428571
2020-08-08,66,0.5,33.0,28.804285714285715
2020-08-09,65,0.481651376146789,31.307339449541285,27.326834862385326
2020-08-10,61,0.481651376146789,29.380733944954127,25.645183486238533
2020-08-11,70,0.481651376146789,33.71559633027523,29.42889908256881
2020-08-12,55,0.481651376146789,26.490825688073393,23.12270642201835
2020-08-13,67,0.481651376146789,32.27064220183486,28.167660550458717
2020-08-14,51,0.481651376146789,24.56422018348624,21.44105504587156
2020-08-15,67,0.481651376146789,32.27064220183486,28.167660550458717
2020-08-16,71,0.3605683836589698,25.600355239786857,22.345452930728243
2020-08-17,55,0.3605683836589698,19.83126110124334,17.309857904085256
2020-08-18,92,0.3605683836589698,33.172291296625225,28.954671403197164
