date,ubo,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-08-16,69,0.869281045751634,59.98039215686275,27.64073371283997
2020-08-17,0,0.869281045751634,0.0,0.0
2020-08-18,0,0.869281045751634,0.0,0.0
2020-08-19,58,0.869281045751634,50.41830065359477,23.234239932532148
2020-08-20,54,0.869281045751634,46.94117647058824,21.631878557874764
2020-08-21,57,0.869281045751634,49.549019607843135,22.833649588867804
2020-08-22,68,0.869281045751634,59.111111111111114,27.240143369175623
2020-08-23,0,0.7522388059701492,0.0,0.0
2020-08-24,81,0.7522388059701492,60.93134328358209,28.07896003851709
2020-08-25,64,0.7522388059701492,48.14328358208955,22.18584496870486
2020-08-26,63,0.7522388059701492,47.3910447761194,21.839191141068845
2020-08-27,61,0.7522388059701492,45.886567164179105,21.14588348579682
2020-08-28,0,0.7522388059701492,0.0,0.0
2020-08-29,66,0.7522388059701492,49.64776119402985,22.879152623976886
2020-08-30,83,0.9218106995884774,76.51028806584362,35.25819726536572
2020-08-31,0,0.9218106995884774,0.0,0.0
2020-09-01,0,0.9218106995884774,0.0,0.0
2020-09-02,0,0.9218106995884774,0.0,0.0
2020-09-03,57,0.9218106995884774,52.54320987654321,24.213460772600552
2020-09-04,46,0.9218106995884774,42.40329218106996,19.540687641046063
2020-09-05,57,0.9218106995884774,52.54320987654321,24.213460772600552
2020-09-06,0,0.7262247838616716,0.0,0.0
2020-09-07,100,0.7262247838616716,72.62247838616716,33.46657990145951
2020-09-08,0,0.7262247838616716,0.0,0.0
2020-09-09,61,0.7262247838616716,44.29971181556196,20.414613739890303
2020-09-10,44,0.7262247838616716,31.953890489913547,14.725295156642185
2020-09-11,78,0.7262247838616716,56.64553314121038,26.10393232313842
2020-09-12,64,0.7262247838616716,46.47838616714698,21.41861113693409
2020-09-13,64,1.0791666666666666,69.06666666666666,31.82795698924731
2020-09-14,48,1.0791666666666666,51.8,23.870967741935477
2020-09-15,50,1.0791666666666666,53.95833333333333,24.865591397849457
2020-09-16,0,1.0791666666666666,0.0,0.0
2020-09-17,78,1.0791666666666666,84.175,38.79032258064515
2020-09-18,0,1.0791666666666666,0.0,0.0
2020-09-19,0,1.0791666666666666,0.0,0.0
2020-09-20,0,1.0043478260869567,0.0,0.0
2020-09-21,0,1.0043478260869567,0.0,0.0
2020-09-22,0,1.0043478260869567,0.0,0.0
2020-09-23,54,1.0043478260869567,54.23478260869566,24.992987377279103
2020-09-24,76,1.0043478260869567,76.3304347826087,35.17531556802244
2020-09-25,100,1.0043478260869567,100.43478260869567,46.28330995792427
2020-09-26,0,1.0043478260869567,0.0,0.0
2020-09-27,84,1.1226415094339623,94.30188679245283,43.457090687766275
2020-09-28,0,1.1226415094339623,0.0,0.0
2020-09-29,66,1.1226415094339623,74.09433962264151,34.14485696895922
2020-09-30,0,1.1226415094339623,0.0,0.0
2020-10-01,62,1.1226415094339623,69.60377358490567,32.075471698113205
2020-10-02,0,1.1226415094339623,0.0,0.0
2020-10-03,0,1.1226415094339623,0.0,0.0
2020-10-04,0,0.7020648967551623,0.0,0.0
2020-10-05,58,0.7020648967551623,40.71976401179941,18.764868208202493
2020-10-06,75,0.7020648967551623,52.65486725663717,24.264915786468737
